Reference Descriptor,Reference,Descriptor,Primary,How to Prepare,Suggested Brands
Nutty,The Coffee Sensorium Flavour Kit - Vial #632: Roasted Hazelnuts,Nutty,Nutty/Cocoa,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Fruity,The Coffee Sensorium Flavour Kit - Vial #643: Apple,Fruity,Fruity,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Green/vegetative,The Coffee Sensorium Flavour Kit - Vial #819: Underripe,Green/vegetative,Green/vegatative,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Floral,The Coffee Sensorium Flavour Kit - Vial #875: Floral (Sweet),Floral,Floral,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Citrus Fruit,The Coffee Sensorium Flavour Kit - Vial #917: Orange,Citrus Fruit,Fruity,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Fruity,"FlavorActiV “apple""(ethyl hexanoate)",Fruity,Fruity,Prepare according to FlavorActiV package instructions.,FlavorActiv
Fruity,"FlavorActiV “grape"" (methyl anthranilate)",Fruity,Fruity,Prepare according to FlavorActiV package instructions.,FlavorActiv
Fruity,"FlavorActiV “coconut"" (whiskey lactone)",Fruity,Fruity,Prepare according to FlavorActiV package instructions.,FlavorActiv
Fruity,"FlavorActiV “pineapple"" (ethyl butyrate)",Fruity,Fruity,Prepare according to FlavorActiV package instructions.,FlavorActiv
Sour,"FlavorActiV “acetic"" (acetic acid)",Sour,Sour/fermented,Prepare according to FlavorActiV package instructions.,FlavorActiv
Sour,"FlavorActiV “butyric"" (butyric acid)",Sour,Sour/fermented,Prepare according to FlavorActiV package instructions.,FlavorActiv
Sour,"FlavorActiV “isovaleric (cheese)"" (isovaleric acid)",Sour,Sour/fermented,Prepare according to FlavorActiV package instructions.,FlavorActiv
Fermented,"FlavorActiV ""fermented"" (ethyl isovalerate)",Fermented,Sour/fermented,Prepare according to FlavorActiV package instructions.,FlavorActiv
Green/vegetative,"FlavorActiV “under-ripe fruit"" (acetaldehyde)",Green/vegetative,Green/vegatative,Prepare according to FlavorActiV package instructions.,FlavorActiv
Green/vegetative,"FlavorActiV “freshly cut grass"" (cis-3-hexanol)",Green/vegetative,Green/vegatative,Prepare according to FlavorActiV package instructions.,FlavorActiv
